@relation 'ulcer_classification-weka.filters.unsupervised.attribute.Remove-R1,3-24,26-31,33-48,50-54,56-76,80-83,85-101,103-119,121-146,148-159,161-173,175-186'

@attribute color_bgr_g_mean numeric
@attribute color_lab_l_mean numeric
@attribute color_lab_a_centroid numeric
@attribute color_luv_l_mean numeric
@attribute color_luv_l_centroid numeric
@attribute color_norm_g_variance numeric
@attribute color_norm_r_variance numeric
@attribute color_norm_b_centroid numeric
@attribute color_norm_r_asymetry numeric
@attribute haralick_bgr_g_contrast numeric
@attribute haralick_lab_b_homogeneity numeric
@attribute haralick_lab_ab_contrast numeric
@attribute lbph_bgr_b_energy numeric
@attribute wavelet_bgr_b_3_hl_energy numeric
@attribute classification {ULCER,NON_ULCER}

@data
-0.467902,-0.349955,-0.096774,-0.350306,-0.306452,-0.992793,-0.993096,-0.172932,0.140522,-0.963743,0.072599,-0.924399,0.135922,-0.876584,NON_ULCER
-0.408507,-0.217684,0.129032,-0.218869,-0.258065,-0.951592,-0.987425,-0.142857,0.139866,-0.963328,-0.139153,-0.820713,0.320913,-0.873767,NON_ULCER
-0.281688,-0.133763,-0.032258,-0.134427,-0.112903,-0.997642,-0.99844,-0.142857,0.13763,-0.985101,0.144391,-0.961142,0.026204,-0.914754,NON_ULCER
-0.273971,-0.112975,0.064516,-0.113116,-0.096774,-0.987892,-0.998824,-0.142857,0.135648,-0.98401,0.090885,-0.879688,0.125977,-0.881184,NON_ULCER
-0.300126,-0.158391,-0.032258,-0.159181,-0.137097,-0.997952,-0.99808,-0.12782,0.133489,-0.9757,0.011443,-0.957994,0.240956,-0.916658,NON_ULCER
-0.171172,-0.01875,0,-0.01885,-0.016129,-0.994304,-0.99923,-0.112782,0.163526,-0.983967,0.195143,-0.92317,0.118943,-0.925716,NON_ULCER
-0.004249,0.180892,0.096774,0.179288,0.185484,-0.983063,-0.998196,-0.052632,0.127254,-0.98645,-0.021322,-0.939697,0.189017,-0.929992,NON_ULCER
0.071958,0.232858,0.096774,0.232273,0.153226,-0.989222,-0.992872,0.052632,0.140963,-0.756668,-0.534577,-0.659231,0.085438,-0.675319,NON_ULCER
-0.233593,-0.049368,0.193548,-0.049956,-0.096774,-0.986701,-0.992523,-0.082707,0.142561,-0.893068,-0.071522,-0.777772,0.293684,-0.732644,NON_ULCER
-0.225916,-0.076839,-0.032258,-0.077072,-0.040323,-0.997006,-0.998345,-0.082707,0.136438,-0.9768,-0.052257,-0.946534,0.284266,-0.915981,NON_ULCER
-0.13642,0.019302,0,0.01988,-0.024194,-0.996414,-0.998414,-0.097744,0.140448,-0.979895,0.062378,-0.917267,0.046294,-0.891211,NON_ULCER
0.033772,0.205715,0.064516,0.204355,0.217742,-0.992374,-0.998002,-0.052632,0.136689,-0.977899,0.222195,-0.928728,0.22492,-0.836586,NON_ULCER
-0.142095,0.010215,0,0.012749,-0.040323,-0.99882,-0.999123,-0.067669,0.113395,-0.972913,0.080576,-0.975308,0.352375,-0.888621,NON_ULCER
-0.012203,0.140112,0,0.139173,0.096774,-0.997945,-0.997399,-0.052632,0.145929,-0.948701,-0.187803,-0.909889,0.171563,-0.75065,NON_ULCER
0.172834,0.301789,-0.16129,0.300625,0.346774,-0.990955,-0.994172,0.067669,0.135592,-0.86511,0.220992,-0.813728,0.068582,-0.663669,NON_ULCER
0.148687,0.300218,0,0.298895,0.258065,-0.998078,-0.999091,-0.037594,0.149764,-0.988174,0.030634,-0.943927,-0.064477,-0.902204,NON_ULCER
0.105053,0.263965,0,0.263175,0.266129,-0.99246,-0.997667,0.007519,0.129659,-0.968204,0.104853,-0.896756,0.33668,-0.877442,NON_ULCER
-0.133662,0.036086,0.064516,0.034818,0.064516,-0.984637,-0.990369,-0.007519,0.142818,-0.940316,-0.010666,-0.851406,0.344331,-0.673369,NON_ULCER
