@relation 'ulcer_classification-weka.filters.unsupervised.attribute.Remove-R1-6,8-40,42-54,56-77,79-84,86-121,124-129,131-158,160-185'

@attribute color_bgr_b_centroid numeric
@attribute color_lab_a_intensity2 numeric
@attribute color_luv_l_centroid numeric
@attribute color_norm_r_variance numeric
@attribute color_norm_b_intensity1 numeric
@attribute haralick_luv_u_contrast numeric
@attribute haralick_luv_u_energy numeric
@attribute haralick_luv_v_homogeneity numeric
@attribute lbph_bgr_b_entropy numeric
@attribute wavelet_bgr_r_3_hl_energy numeric
@attribute classification {ULCER,NON_ULCER}

@data
-0.62249,-0.342857,-0.45082,-0.995309,-0.525692,-0.982179,-0.520372,-0.466584,0.609575,-0.959741,NON_ULCER
-0.566265,-0.328571,-0.401639,-0.997638,-0.509881,-0.994898,-0.794923,-0.794957,0.594626,-0.976148,NON_ULCER
-0.349398,-0.4,-0.213115,-0.996207,-0.44664,-0.977752,-0.881618,-0.76452,0.66553,-0.970686,NON_ULCER
-0.437751,-0.428571,-0.295082,-0.99504,-0.462451,-0.976139,-0.840138,-0.709833,0.755473,-0.96917,NON_ULCER
-0.253012,-0.514286,-0.057377,-0.996301,-0.454545,-0.987769,-0.943548,-0.8898,0.587261,-0.932925,NON_ULCER
-0.253012,-0.514286,-0.02459,-0.996723,-0.462451,-0.970999,-0.788365,-0.636396,0.777269,-0.902737,NON_ULCER
-0.124498,-0.571429,0.139344,-0.988825,-0.438735,-0.960532,-0.786057,-0.544178,0.731467,-0.894031,NON_ULCER
-0.550201,-0.328571,-0.409836,-0.995125,-0.486166,-0.981617,-0.732157,-0.646146,0.671944,-0.969825,NON_ULCER
-0.51004,-0.328571,-0.344262,-0.997961,-0.494071,-0.978653,-0.364002,-0.363741,0.615333,-0.951521,NON_ULCER
-0.35743,-0.357143,-0.245902,-0.996553,-0.43083,-0.986569,-0.921455,-0.888488,0.416769,-0.939164,NON_ULCER
-0.453815,-0.357143,-0.319672,-0.993526,-0.454545,-0.96616,-0.736663,-0.616434,0.760593,-0.886944,NON_ULCER
-0.068273,-0.585714,0.221311,-0.99601,-0.462451,-0.985518,-0.932829,-0.882969,0.602355,-0.925116,NON_ULCER
-0.759036,-0.314286,-0.516393,-0.963791,-0.588933,-0.985106,-0.810324,-0.683177,0.660364,-0.397979,NON_ULCER
-0.590361,-0.314286,-0.409836,-0.986977,-0.533597,-0.951715,-0.631864,-0.336773,0.737303,-0.942632,NON_ULCER
-0.662651,-0.3,-0.459016,-0.991637,-0.573123,-0.983417,-0.749656,-0.659521,0.666788,-0.954144,NON_ULCER
-0.526104,-0.328571,-0.344262,-0.995756,-0.509881,-0.994147,-0.824792,-0.825707,0.596232,-0.985455,NON_ULCER
-0.502008,-0.328571,-0.327869,-0.997453,-0.486166,-0.98822,-0.543808,-0.54224,0.637097,-0.964764,NON_ULCER
-0.542169,-0.342857,-0.377049,-0.991366,-0.501976,-0.974151,-0.797656,-0.661864,0.849312,-0.958652,NON_ULCER
-0.261044,-0.428571,-0.081967,-0.993887,-0.454545,-0.914348,-0.587028,-0.143086,0.80137,-0.888912,NON_ULCER
-0.140562,-0.514286,0.040984,-0.997692,-0.438735,-0.980379,-0.943091,-0.88905,0.633689,-0.942172,NON_ULCER
-0.542169,-0.342857,-0.385246,-0.996097,-0.494071,-0.986456,-0.699151,-0.658864,0.612395,-0.304412,NON_ULCER
-0.526104,-0.371429,-0.352459,-0.994941,-0.486166,-0.985218,-0.817765,-0.756926,0.547738,-0.94556,NON_ULCER
-0.477912,-0.342857,-0.286885,-0.996499,-0.501976,-0.968486,-0.484206,-0.401491,0.608558,-0.950616,NON_ULCER
-0.341365,-0.385714,-0.180328,-0.994711,-0.44664,-0.95618,-0.769064,-0.596115,0.90874,-0.851647,NON_ULCER
-0.212851,-0.457143,-0.016393,-0.997171,-0.438735,-0.955842,-0.847535,-0.692033,0.756705,-0.883927,NON_ULCER
-0.542169,-0.314286,-0.319672,-0.991339,-0.509881,-0.95693,-0.669301,-0.448959,0.80192,-0.923027,NON_ULCER
-0.148594,-0.428571,-0.008197,-0.995466,-0.422925,-0.990246,-0.948235,-0.912613,0.594065,-0.816513,NON_ULCER
-0.582329,-0.342857,-0.409836,-0.984342,-0.517787,-0.961132,-0.705267,-0.444084,0.707494,-0.73016,NON_ULCER
-0.477912,-0.414286,-0.303279,-0.986536,-0.494071,-0.932732,-0.74637,-0.352616,0.774185,-0.83802,ULCER
-0.285141,-0.6,-0.02459,-0.984099,-0.478261,-0.87488,-0.8503,-0.619734,0.547745,-0.829832,ULCER
-0.646586,-0.342857,-0.393443,-0.980157,-0.541502,-0.941361,-0.887545,-0.689364,0.835949,-0.888132,ULCER
-0.405622,-0.514286,-0.221311,-0.992186,-0.462451,-0.961095,-0.884135,-0.740708,0.563913,-0.852917,ULCER
